Building_Type,Year_Built,Floor_Area_m2,Orientation,Material,Insulation_Level,Solar_Potential_kWh_m2,Wind_Potential_m_s,Geothermal_Potential,Energy_Demand_kWh,Installation_Area_m2,Carbon_Reduction_%,Payback_Period_Years,Optimal_Solar_Utilization_%
Stone_Villa,1844,67,East,Stone,Medium,4.962382804015867,2.2021306145657773,1.2328136996603858,8740,78,25.377517093975314,11.399095231574508,22.98301663166317
Thatched_Hut,1900,89,North,Timber,High,4.914786746322935,4.494622359012997,1.286294406594961,5358,34,26.92584375396236,8.82494708652072,7.357229322764375
Wooden_House,1911,70,North,Timber,Medium,4.709916116671707,2.5319796596718183,1.5004031263358257,8777,29,24.824728106554133,7.493479220777084,11.280054960857377
Stone_Villa,1919,192,North,Brick,Low,7.401493108585683,4.169214908149007,0.900716104805974,10906,60,31.956197591881605,5.050909653858065,16.58562570325407
Stone_Villa,1939,274,West,Brick,Low,4.1804616692371255,4.3180129643845,1.8659974930758327,15563,46,21.51373767720542,5.42638558810069,10.145989428920908
Thatched_Hut,1745,148,East,Brick,Low,7.092952255812941,4.144698602273941,1.1535080991834357,6721,79,38.34901190920228,8.001873107081735,18.38487745708748
Wooden_House,1734,75,East,Thatch,High,6.607213328559552,3.7369329396624353,0.6936292927136927,6349,92,24.45410327616824,7.795283024740572,23.114995149563924
Wooden_House,1952,57,South,Thatch,High,3.8059198219972523,2.0438269913266485,1.6134481351009164,8696,71,27.136417288443926,6.292997366989182,14.712696493937298
Stone_Villa,1781,149,East,Brick,Medium,7.446916406003394,3.081126477089512,1.4646565289267754,8896,47,34.76592470040248,7.768360196221598,12.049887148281686
Brick_Cottage,1955,289,East,Thatch,Medium,4.585463854156043,3.8145182880877435,0.9736151037260556,9260,84,18.257083177933673,6.222550458187577,24.579249204072052
Stone_Villa,1896,271,North,Stone,Low,3.8943317080896493,3.1623538877676163,1.4322780860510727,14788,36,12.256060862884073,10.941538769430885,11.201938354904664
Stone_Villa,1709,136,South,Stone,High,6.817256936503037,4.590439684738439,0.8297929345534654,14819,63,31.233519350874477,7.087364145129191,20.197275776856884
Stone_Villa,1985,91,East,Thatch,Medium,6.3267021347108,2.9264068260488463,1.1672590390107942,11941,29,24.49035566645136,9.18995045110817,12.515002802606453
Stone_Villa,1941,221,West,Thatch,High,5.968875223511603,2.880604377375981,1.8491187832509879,15694,82,36.89512752876985,8.519901433993608,26.059198815021496
Thatched_Hut,1950,63,East,Stone,High,4.123923454795733,2.797993079277974,0.7003013497411241,18464,66,39.480401461673026,5.363174543157945,18.870133852465614
Wooden_House,1704,127,North,Timber,Low,5.413984465023848,2.9983426068823866,1.080044674981193,8808,57,21.973280517241875,11.595636036438163,11.187631850977086
Thatched_Hut,1818,51,West,Stone,Low,6.622224107548855,3.6722148929425615,1.7317136370805208,10246,89,22.463170487789824,8.690581847753384,25.241409140535126
Thatched_Hut,1988,168,North,Stone,High,4.7144957525753615,4.121045882817772,1.9542363491092671,13384,95,22.238878066171793,7.275403503742707,24.553362276697214
Thatched_Hut,1764,86,East,Thatch,High,4.746759314060165,3.9877037532163553,1.180889204632694,15866,72,19.736623291927785,6.106885987431478,16.668747912078295
Stone_Villa,1845,118,West,Stone,High,3.5125636241924885,4.423153459944439,1.2604994302150212,8845,97,33.45061293299192,7.369686443087851,22.76310080252433
Brick_Cottage,1923,215,South,Thatch,High,4.196973606581518,4.657741986492274,1.3582579426756545,7577,63,32.76987287472183,5.143581221163727,16.059281831318888
Wooden_House,1938,286,South,Thatch,Low,7.001622500487337,4.448237127030054,1.8985222124505663,5091,93,24.359346116515745,7.544907087438084,27.32718604669767
Brick_Cottage,1876,90,West,Brick,Medium,5.266985966550829,2.0568362101230635,1.7873101864655447,9234,73,11.339836491366963,8.720401491131534,15.058712449168745
Thatched_Hut,1966,111,West,Stone,Low,7.436937996937736,4.207753860655966,0.7559016869324665,13672,39,19.2867790453922,11.103063720956612,15.861376945378492
Thatched_Hut,1981,295,North,Timber,Medium,5.08283185429517,2.625198720854995,1.1551367267706125,11592,98,18.769091396645123,9.811620923884583,26.15871859457468
Brick_Cottage,1762,109,West,Brick,High,6.3607458191209645,2.398784128123948,1.1960006422946394,18644,50,34.332617386007755,5.78107619193269,16.762630832256455
Brick_Cottage,1916,174,North,Thatch,Medium,4.6276761716189165,3.9154663543974064,1.683644167473135,16108,26,12.627267202485243,6.034224271065728,8.367937682845584
Brick_Cottage,1982,160,East,Thatch,Low,4.955238564563734,2.959229586223085,1.404339323908153,17627,77,34.17026137128113,7.996863574728623,18.396165505163967
Thatched_Hut,1876,63,North,Timber,Low,4.262903950363579,2.1713514901113298,1.4813306930435195,13128,29,30.07550956597429,6.369954261471515,4.848395969591416
